老师编号,老师工号,老师姓名,常带课程,可带课程
1033,T0033,曾伟营,幼儿心理学,复变函数；建筑史工业；纤维材料化学
1034,T0034,栾荣韵,海洋技术,地质学C；有机化学；机械设计基础
1035,T0035,通莎韵,针灸临床治疗学,刺灸学；推拿临床治疗学；实体天梯物理学
1036,T0036,慎卿桂,实验力学,振动力学；理论力学；计算机基础
1037,T0037,宫等霞,农牧业生产基础,森林植物学；农学B；民法
1038,T0038,籍青宁,中医学基础A,中医学基础B；普通心理学；地图与遥感
1039,T0039,赖琰姬,大气科学概论,大气探测学；天气学；计算天文学入门
1040,T0040,莘炎恒,天体力学,计算机仿真技术；民事诉讼法；基础会计
1041,T0041,魏茗冰,电子技术基础,史学导论；食品工厂设计基础；航空仪表
1042,T0042,时月选,矿床学,工程力学A2；线性代数；人体解剖学A
1043,T0043,方雅琳,机械设计基础,测试技术；史学导论；计算天文学入门
1044,T0044,康钢昭,感测技术,信号与系统分析；计算天文学入门；古建筑保护
1045,T0045,莘柔娣,外贸英语B,外贸英语A；国学金融；计算机基础
1046,T0046,屠星起,中医诊断学,中药学；方剂学；中医内科学
1047,T0047,越全艺,口腔组织病理学,口腔解剖生理学；口腔修复学；口腔内科学
1048,T0048,饶维立,舞蹈欣赏,森林生态学；宏观经济学；大学体育
1049,T0049,卻福鑫,建筑师业务基础,工程结构；海洋技术；国际贸易运输与保险
1050,T0050,荣筠飘,建筑与城市摄影,大学生物B；中国哲学史；组织胚胎学
1051,T0051,苍菊瑗,结晶矿物学,弹性力学；构造地质学；地球物理及勘探方法
1052,T0052,韦翔固,安全防范工程,纤维材料化学；有机化学；中国诗词文化
1053,T0053,东思栋,森林植物学,植物生理学；植物营养学；气候资源学
1054,T0054,昌尚语,地质学B2,营销学；中国艺术设计史；计算机基础
1055,T0055,逄梅伊,对外贸易概论,森林植物学；学前卫生学；反应堆工程管理
1056,T0056,云楠融,工程力学；岩土力学,地基与基础；工程制图；计算机基础
1057,T0057,邵益林,动物科学,蚕学；蜂学；ps
1058,T0058,毕洋伦,天体力学,全球地球动力学；国学金融；地图与遥感
1059,T0059,郎菊枫,自动控制理论,反应堆工程原理；微观经济学
1060,T0060,景行敬,大气科学概论B1,计算机软件技术基础；普通逻辑学；电子技术基础
1061,T0061,霍竹琦,中国法制史,组织胚胎学；可持续建筑；科学技术哲学
1062,T0062,鲁苑娥,飞机维修,地球物理及勘探方法；建筑设计B1；营销学
1063,T0063,扶仪毓,流体力学,空气动力学；塑性力学；断裂力学
1064,T0064,雍颖艳,教育论,生物力学；测量与遥感；岩土力学
1065,T0065,庞舒芸,口腔解剖生理学,口腔组织病理学；口腔修复学
1066,T0066,李伊玉,马克思主义哲学原理,天气学；中药学；地球化学
1067,T0067,明素霄,运筹学,管理学；营销学；财务管理
1068,T0068,胥隆超,哲学概论,马克思主义哲学原理；计算机基础
1069,T0069,吴舜中,财政学,农学A；动物科学；教育论
1070,T0070,余云瑗,农学A,数据结构；植物科学与技术；数控加工技术
1071,T0071,茹旭理,中国诗词欣赏,中国语言文学；中国诗词文化
1072,T0072,堵可耀,中国诗词文化,教育社会学；大学体育；气候资源学
1073,T0073,岑霞聪,森林生态学,测量与遥感；宏观经济学；大学物理及实验
1074,T0074,庞蓓欣,幼儿保健学,实变与泛函；普通心理学；天体力学
1075,T0075,成晓欢,健康评估,中小学教学法；食品工厂设计基础
1076,T0076,索凡思,国际经济学,宏观经济学；推拿临床治疗学；汉语言文学B
1077,T0077,曲先学,大学英语,商务英语；国际金融；计算机基础
1078,T0078,易罡恩,建筑材料,混凝土结构；钢结构；大学物理及实验
1079,T0079,虞凤华,普通心理学,大学英语听说教程；马克思主义哲学原理
1080,T0080,黄榕豪,中国史,生物化学；大学物理C；计算机基础
1081,T0081,解璐枫,中国近代史；中国古代史,国学经典；形势与政策；史学导论
1082,T0082,万选浩,分析化学,艺术考古学；纺织厂空气调节；大学英语听说教程
1083,T0083,双维飞,组织胚胎学,大学生物C；编译技术；中医诊断学
1084,T0084,胥中钊,大学计算机基础,建筑师业务基础；弹性力学；测试技术
1085,T0085,卻理和,护理学基础A；护理学基础B,内科护理学；外科护理学
1086,T0086,经祥建,蚕学,航空航天动力装置；会计学C；地质学
1087,T0087,充城顺,政治经济学,宏观经济学；国际经济学
1088,T0088,裴鑫伦,汉语言文学A,汉语言文学B；哲学概论；大学物理及实验
1089,T0089,娄毓慧,大学英语听说教程,外贸英语B；蜂学；计算机基础
1090,T0090,卢媛婕,地球物理及勘探方法,历史地理学；幼儿保健学；园艺
1091,T0091,习冰春,普通化学B,普通化学A；地球化学；大学化学及实验
1092,T0092,屠薇洁,数控加工技术,乐理学A2；国际贸易A；大学化学及实验
1093,T0093,师悦蓓,森林昆虫学,运动控制；空间测理论与技术；生物海洋学
1094,T0094,查纪为,机械制图,计算机绘图；几何学；数学模型
1095,T0095,充伊思,高等数学B,高等数学A；塑性力学；大学化学及实验
1096,T0096,邢茜莉,护理学基础A,工程力学B；森林植物学；罐头食品加工与软饮料工艺学
1097,T0097,衡棠良,纺纱学,毛泽东思想；隐身技术；电路理论
1098,T0098,章澜寒,航空宇航制造工程,大学计算机基础；矿床学；乐理基础
1099,T0099,和黛淑,临床医学,分析化学；信号与系统分析；理论力学
1100,T0100,山东斌,岩土力学,工程制图；地基与基础；大学化学及实验
1101,T0101,羿钧林,大学生物A,海洋测绘；宗教学；口腔解剖生理学
1102,T0102,经眉凡,数控加工技术,外国艺术设计史；传热；几何学
1103,T0103,吉威舜,乐理学C,地球化学；可持续建筑；数学模型
1104,T0104,侯皓策,口腔修复学,古代汉语；药理学；计算机基础
1105,T0105,双珊颖,会计学Cl,会计学A；塑性力学；近代史
1106,T0106,储英飘,结晶矿物学,数字信号处理；运动控制
1107,T0107,能城恒,建筑材料,混凝土结构；钢结构；工程结构
1108,T0108,敖康泽,乐理学C,动物科学；植物科学与技术；计算机软件技术基础
1109,T0109,居青雁,哲学概论,纺织品设计学；历史地理学；艺术设计概论
1110,T0110,充瑗菊,农学A；农学B；园艺,植物保护；植物科学与技术
1111,T0111,靳琼娥,天体力学,全球地球动力学；实体天体物理；气候资源学
1112,T0112,乐宁莺,基础会计,中级财政会计管理会计成本会计
1113,T0113,汤伯致,空气动力学,海洋物理学；外国文学；纳米材料的结构
1114,T0114,谭青珊,海洋科学导论；生物海洋学,海洋地质学；海洋调查与观测技术
1115,T0115,龚瀚启,地球物理及勘探方法,海洋调查与观测技术；海洋地质学
1116,T0116,郭政维,教育哲学,教育论；教育学概论；教育心理学
1117,T0117,喻婷欣,纺纱学,乐理学D；大学化学；海洋物理学
1118,T0118,傅聪瑞,人体解剖学A,海洋测绘；传播学；海洋物理学
1119,T0119,汤霖弘,实验力学,人体解剖学C；空间测理论与技术
1120,T0120,潘晟欣,人体解剖学A,外国语言文学；图像识别；古代汉语
1121,T0121,酆荔雪,断裂力学,塑性力学；流体力学；几何学
1122,T0122,须巧琼,实验力学,振动力学；纳米材料的结构
1123,T0123,钭超琛,逻辑学,流体力学；电气控制与PLC技术；食品添加剂
1124,T0124,储军英,塑性力学,流体力学；空气动力学；振动力学
1125,T0125,乜函学,刺灸学,经络学；针灸临床治疗学
1126,T0126,劳娟黛,工程力学A1,针灸临床治疗学；安全防范工程；岩土力学
1127,T0127,路姣燕,食品营养与卫生,罐头食品加工与软饮料工艺学
1128,T0128,满树承,有机化学；分析化学,生物化学；地球化学；编码理论
1129,T0129,那以刚,大学物理B2,大学物理B1；几何学；编码理论
1130,T0130,潘诚福,混凝土结构,编码理论；钢结构；电工学
1131,T0131,危刚光,断裂力学,电工学；集合学；机器人编程
1132,T0132,郏环韵,外贸英语函电,管理学；劳动与社会保障；国际私法
1133,T0133,苏雅燕,地球化学,流体力学；中国近代史；食品添加剂
1134,T0134,邹瑶悦,织物组织学,大学生物B；舞蹈欣赏；外国教育史
1135,T0135,顾毓倩,电气控制与PLC技术,电力紫铜自动化装置；护理学基础A；有机化学A
1136,T0136,蒙景风,电力电子技术,电气控制与PLC技术；运动控制
1137,T0137,贝棠同,建筑设计B1,海洋技术；财务管理；单片机原理及应用
1138,T0138,岑云瑾,学前卫生学,舞蹈；幼儿心理学；幼儿保健学
1139,T0139,羊凡玲,外贸英语B,大学物理B2；流体力学；中医学基础A
1140,T0140,禹骏瑜,普通心理学,国际贸易A；普通心理学；常微分方程
1141,T0141,戎学益,生物技术,空气动力学；工程地质学；单片机原理及应用
1142,T0142,家洁乐,幼儿心理学,声乐；学前卫生学；国际金融
1143,T0143,邢苑春,概率论,园艺；交通运输法规；舞蹈
1144,T0144,全津阳,建筑材料,工程制图；地基与基础；机器人编程
1145,T0145,温露凡,纺织品设计学,纺织厂空气调节；哲学概论
1146,T0146,聂洁霄,宗教学,计算机软件技术基础；中国教育史；推拿临床治疗学
1147,T0147,沃燕亚,中国哲学史,动物科学；教育社会学；刑事科学技术
1148,T0148,阴家富,管理学,WTO规则；外国语言文学；电子科学技术
1149,T0149,白玉影,建筑材料,混凝土结构；钢结构；电子科学技术
1150,T0150,夏韬珂,现代医学基础,西方史学史；哲学概论；汉语言文学B
1151,T0151,贺婷晶,工程力学；岩土力学,地基与基础；工程制图；电子科学技术
1152,T0152,巫纨纯,数据结构,中小学教学法；临床药学
1153,T0153,贾飘纨,国际贸易A；国际贸易B;对外贸易概论,国际商务谈判；国际营销学；国际商务案例
1154,T0154,申茗琼,治安系,蜂学；农学A；外贸英语B
1155,T0155,松媛琬,外国工艺美术史,流体力学；外贸英语B；物联网概论
1156,T0156,朱尚绍,西方哲学史,电力电子技术；农学B；物联网概论
1157,T0157,叶锦香,教育论,宏观经济学；会计学A；地球物理大地测量学
1158,T0158,解婵兰,隐身技术,马克思主义哲学；宪法；世界经济学
1159,T0159,杜婷宁,会计学C,中医诊断学；外科护理学；实变与泛函
1160,T0160,那有泓,WTO规则,传播学；教育社会学；宏观经济学
1161,T0161,韩君娣,刺灸学,中国史；工程力学A2；物联网概论
1162,T0162,施薇彩,地基与基础,工程制图；钢结构；计算机科学与技术
1163,T0163,汲亚澜,幼儿心理学,声乐；数字色彩艺术；计算机科学与技术
1164,T0164,柳彬强,幼儿心理学,声乐；数字色彩艺术；计算机科学与技术
1165,T0165,曾松谊,电路理论,管理学；大学生物C；计算机原理及应用
1166,T0166,叶环秀,马克思主义哲学；毛泽东思想,马克思主义政治经济学；数字色彩艺术
1167,T0167,步健誉,信号与系统分析,普通逻辑学；内科护理学；反应堆工程管理
1168,T0168,储真菲,材料科学基础,分析化学；物理化学；铁路规划与线路设计
1169,T0169,勾章宁,大学生物A,高等数学A；遥感技术；外贸制单与结汇
1170,T0170,边俊克,植物营养学,运动控制；教学论；铁路规划与线路设计
1171,T0171,通枝嘉,电力电子技术,数控加工技术；计算机网络系统
1172,T0172,钱滢霄,汉语言文学A,大学生物C；国际商务案例；行政法与行政诉讼法
1173,T0173,易叶蓓,外贸英语A；外贸英语B,外贸英语函电；WTO规则
1174,T0174,戈言彪,宪法,高等数学B；制丝学；新闻传播三大类
1175,T0175,吴远策,建筑设计A；建筑设计B1;建筑设计B2;建筑设计C,智能建筑概论；建筑防灾；铁路规划与线路设计
1176,T0176,钟远广,空气动力学,宏观经济学；数学模型；普通心理学
1177,T0177,阙娜舒,农牧业生产基础,生物学基础；铁路规划与线路设计
1178,T0178,梅丽香,纺织导论；织物组织学,国际金融；宏观经济学；几何学
1179,T0179,舒春意,有机化学B,有机化学A；铁路规划与线路设计
1180,T0180,聂贤易,世界经济学,幼儿保健学；核动力装置；跆拳道
1181,T0181,简亮舜,运筹学,对外贸易概论；乐理基础
1182,T0182,凌义咏,大学物理B1,大学物理B2；工程经济学；河流动力学
1183,T0183,宫弘金,人体解剖学A,人体解剖学C；工程经济学；河流动力学
1184,T0184,甘艳爱,古建筑保护,机织学；考古学通论；外国文学
1185,T0185,张晔行,振动力学,；工程经济学；河流动力学；工程地质及水文地质学
1186,T0186,邹英婕,信号与系统,感测技术；几何学；工程地质及水文地质学
1187,T0187,池裕宁,普通心理学,史学导论；大气科学概论A；商务英语
1188,T0188,仲欢咏,艺术考古学,电机维修；会计学C；工程地质及水文地质学
1189,T0189,宣钧雨,教育论,教育心理学；教育学概论；教育心理学
1190,T0190,殳雄思,物理化学,分析化学；地球化学；工程地质及水文地质学
1191,T0191,尤薇英,中国艺术设计史,数据结构；会计学C；大学生物B
1192,T0192,家材俊,地质学B2,神经生理学；儿科护理学
1193,T0193,燕信博,中国教育史,林木病理学；外国艺术设计史
1194,T0194,水荔欢,中国古代史,结晶矿物学；工程力学B；林木病理学
1195,T0195,蓬伊枝,大地测量学基础；地球物理大地测量学,空间测理论与技术；工程测量；飞行器结构学
1196,T0196,秦科宪,编译技术,数理统计；有机化学B；外国文学
1197,T0197,都霖颜,中医学基础A,中医学基础B；几何学；无线传感器网络
1198,T0198,白霞瑗,口腔修复学,口腔内科学；工程经济学；河流动力学
1199,T0199,杜雪融,电机维修,电工电子技术；数控加工技术；图像识别
1200,T0200,贺和强,口腔修复学,口腔内科学；工程测量；飞行器结构学
1201,T0201,池妹春,法理学,刑事科学技术；建筑材料；WTO规则
1202,T0202,乐悦丹,反应堆工程原理,热工；传热；运输经济学
1203,T0203,古心天,钢结构,工程制图；混凝土结构；工程结构
1204,T0204,聂富新,编译技术,数据结构；操作系统；数字信号处理
1205,T0205,柯岚远,大气科学概论A,国学经典；农牧业生产基础
1206,T0206,冯芸翠,振动力学,伦理学；交通运输企业管理；大学英语听说教程
1207,T0207,咸之同,农牧业生产基础,生物学基础；工程测量；飞行器结构学
1208,T0208,蒙曦强,交通运输设备,交通运输技术管理；交通运输企业管理
1209,T0209,慕春莉,教育通论,妇产科护理学；建筑设计；建筑设计C
1210,T0210,扶宜凝,地质学,乐理学D；电路理论；构造地质学
1211,T0211,薄星融,人体解剖学A,政治经济学；电磁场理论；国际商务谈判
1212,T0212,危珂以,跆拳道,机械设计基础；国际经济学
1213,T0213,奚俊群,地球化学,外贸制单与结汇；行政法与行政诉讼法；古代汉语
1214,T0214,曲菁澜,公共事业管理,科学技术哲学；地质学B2；电缆材料
1215,T0215,袁英凤,人体解剖学,商务英语；数据结构；消防工程
1216,T0216,简正艺,常微分方程,计算机技术；幼儿保健学；电缆材料
1217,T0217,牛富思,人口经济学,宏观经济学；微观经济学；电缆材料
1218,T0218,柯茗玲,图像识别,天气学；地球化学；无线传感器网络
1219,T0219,马珍佳,教育哲学,物理实验；管理学；中国艺术设计史
1220,T0220,蔡霭锦,政治经济学,宏观经济学；国际经济学；神经科学基本理论
1221,T0221,司枫卿,电路原理,法理学；塑性力学；生态与可持续发展经济学
1222,T0222,蒋升亮,地球物理及勘探方法,外国工艺美术史；航空航天概论；地球化学
1223,T0223,萧蕾珑,护理学基础A；护理学基础B,内科护理学；外科护理学；神经科学基本理论
1224,T0224,梁骏成,种子科学与工程,几何学；工程测量；飞行器结构学
1225,T0225,蔺韵爽,空间测理论与技术,电磁场理论；航空航天动力装置
1226,T0226,孙晓锦,电工与电子技术基础理论,机械设计基础；测试技术；基础地质学
1227,T0227,翁万臻,天体力学,机械设计基础；航空航天概论
1228,T0228,乌叶婉,中医诊断学,商务英语；海洋地质学；基础地质学
1229,T0229,赖婵菲,电工与电子技术基础理论,机械设计基础；测试技术；基础地质学
1230,T0230,酆姬惠,国际金融,世界经济学；工程测量；飞行器结构学
1231,T0231,鲁婕竹,计算机仿真技术,复变函数；地球物理及勘探方法
1232,T0232,鬱璐琴,地球物理及勘探方法,遥感技术；工程测量；飞行器结构学
1233,T0233,陈雪荣,汉语言文学B,乐理学A2；历史地理学；空间测理论与技术
1234,T0234,廉楠才,机械设计基础,游泳；计算机软件技术基础；反应堆工程管理
1235,T0235,费园婕,断裂力学,塑性力学；流体力学；空气动力学
1236,T0236,咸纯红,制丝学,安全防范工程；海洋测绘；构造地质学
1237,T0237,米育芬,电工电子技术,人体解剖学A；逻辑学；基础地质学
1238,T0238,桑晓世,宏观经济学,中国哲学史；马克思主义哲学原理
1239,T0239,浦克越,针织学,临床药学；建筑设计C；混凝土结构
1240,T0240,岑育瑾,宏观经济学,分析力学；国际营销学；基础地质学
1241,T0241,骆环露,海洋科学导论,刑事科学技术；生理学B2；物理实验
1242,T0242,程彩红,生物技术,艺术设计基础；线性代数；电力电子技术
1243,T0243,井保继,大学体育,地质学B1；经络学；消防工程
1244,T0244,唐河春,岩土力学,工程制图；地基与基础；矿产地质学
1245,T0245,籍萍妹,中国语言文学,中国近代史；中国古代史；中国诗词欣赏
1246,T0246,彭佳希,医学遗传学,微生物学与免疫学；病理学；矿产地质学
1247,T0247,柴庆备,构造地质学,地球物理及勘探方法；弹性力学；构造地质学；
1248,T0248,充琰兰,劳动与社会保障,乐理学A2；大气探测学；组织胚胎学
1249,T0249,咸同钦,岩土力学,交通运输法规；民法；生物技术
1250,T0250,耿国震,大学化学,交通运输设备；有机化学A
1251,T0251,濮祥茂,工程力学A1,地质学B1；国际商法；矿产地质学
1252,T0252,雷清易,海洋科学导论,植物保护；航空仪表；矿产地质学
1253,T0253,荀献齐,生理学；病理学,药理学；健康评估；矿产地质学
1254,T0254,容思莉,农学A,常微分方程；民事诉讼法；WTO规则
1255,T0255,安启茂,教育社会学,生理学A；感测技术；西方哲学史
1256,T0256,索雪媛,中国近代史,中国古代史；中国语言文学；中国诗词欣赏
1257,T0257,阚蓉霞,程序设计基础,安全防范工程；工程力学B；神经科学基本理论
1258,T0258,乌菁真,幼儿心理学,声乐；舞蹈；矿产地质学
1259,T0259,向馥雪,电路原理,建筑设计B1；普通化学A；矿产地质学
1260,T0260,濮映利,国际政治,生理学B2；生物海洋学；植物科学与技术
1261,T0261,蓟誉晓,宗教学,交通运输法规；工程热力学；水文地质学
1262,T0262,刘杰彰,政治经济学,宏观经济学；国际经济学；水文地质学
1263,T0263,牛山春,隐身技术,会计学C；细胞生物学；外国工艺美术史
1264,T0264,萧昭福,织物组织学,中国史；民法；集合学
1265,T0265,谷思欣,建筑与城市摄影,地质学C；逻辑学；教育通论
1266,T0266,贡惠馨,地质学,工程水文学；大学英语读写教程；地质学B1
1267,T0267,应凤君,军事海洋学,工程水文学；纺织厂空气调节
1268,T0268,郭议武,WTO规则,西方哲学史；艺术设计概论
1269,T0269,伍兰枝,中国诗词欣赏,中国语言文学；中国诗词文化；神经科学基本理论
1270,T0270,夏起伯,生物化学,政治经济学；马克思主义哲学；中国法制史
1271,T0271,欧婕眉,幼儿保健学,声乐；舞蹈；学前卫生学
1272,T0272,乔茂远,大气科学概论,高等数学B；商务英语；水文地质学
1273,T0273,闻春惠,刑事诉讼法,微观经济学；分析化学；水文地质学
1274,T0274,米钧豪,刑事科学技术,塑性力学；艺术设计基础；国际贸易务实
1275,T0275,秦英珠,神经生理学,外贸英语函电；大地测量学基础
1276,T0276,纪隆彰,建筑设计C,毛泽东思想；健康评估；电工与电子技术基础理论
1277,T0277,沃妹园,中国哲学史；西方哲学史,中外哲学原著导读；水文地质学
1278,T0278,纪珠蓉,法理学,中药学；航空仪表；内科护理学
1279,T0279,翁永致,大气探测学,人体解剖学B；生理学A；建筑设计B1
1280,T0280,任娣昭,国际营销学,地质学A；财务管理；蜂学
1281,T0281,皮雁佳,中国艺术设计史,现代控制理论；知识产权法
1282,T0282,焦丹艳,理论力学,中药学；儿童文学；常微分方程
1283,T0283,陶莎琬,电磁场理论,电磁场理论；细胞生物学
1284,T0284,宓桂雁,实验力学,振动力学；水文地质学；地球物理勘探
1285,T0285,伊玲希,商务英语,计算机基础；交通运输设备；地球物理勘探
1286,T0286,都馨艺,中国诗词文化,针织学；蜂学；计算机绘图
1287,T0287,融辉世,电气控制与PLC技术,计算机网络系统；纺织品设计学
1288,T0288,富真黛,口腔修复学,口腔内科学；地球物理勘探
1289,T0289,水爽静,健康评估,计算机原理及应用；建筑设计C；伦理学
1290,T0290,霍善家,物理化学,分析化学；材料科学基础
1291,T0291,蔚柔华,振动力学,分析学；数学史；代数学
1292,T0292,查钧建,编译技术,数据结构；操作系统；数字信号处理
1293,T0293,乐涛焘,汉语言文学A,汉语言文学B；地球物理勘探
1294,T0294,濮珂亨,教育哲学,普通心理学；地球物理勘探
1295,T0295,虞超可,大学英语听说教程,幼儿心理学；普通逻辑学；机械设计基础
1296,T0296,养晔钊,纺织厂空气调节,中外城市建筑史；大地测量学基础
1297,T0297,米婵琦,塑性力学,流体力学；空气动力学；振动力学
1298,T0298,戈富恩,中医学基础B,消防工程；幼儿保健学；油气田开发地质
1299,T0299,古娴聪,电工电子技术,中国诗词文化；机械制图B；伦理学
1300,T0300,戎远发,工程力学B,混凝土结构；地球物理及勘探方法
1301,T0301,皮嘉秀,乐理学A1,乐理学A2；分析学；油气田开发地质
1302,T0302,厍晗材,军事海洋学,海洋技术；数学史；油气田开发地质
1303,T0303,温耀艺,治安系,蜂学；航空宇航制造工程；工程制图
1304,T0304,易芬静,高等测量平差,海洋测绘；油气田开发地质
1305,T0305,糜之航,地质学,生物力学；财政学；油气田开发地质
1306,T0306,充固选,流体力学,空气动力学；岩土力学；断裂力学
1307,T0307,汲备涛,大学生物C,艺术设计概论；中医诊断学
1308,T0308,杨欢思,中医学基础A；中医学基础B；现代医学基础,中医古典医籍；油气田开发地质
1309,T0309,董锦羽,教育哲学,常微分方程；交通运输法规；空间测理论与技术
1310,T0310,云咏蕾,教育心理学,教育论；教育哲学
1311,T0311,秋莉贞,古建筑保护,刑事科学技术；药理学；护理学基础A
1312,T0312,荀策宏,生物化学与分子生物学,国际法；生态建筑概论；地质学A
1313,T0313,夏凤婷,国际政治,空气动力学；西方哲学史；外国语言文学
1314,T0314,焦选炎,振动力学,计算机程序设计；渗流力学；钻井工程
1315,T0315,冯仪艳,汉语言文学B,安全防范工程；建筑设计；细胞生物学
1316,T0316,荆曦国,商法,国际政治；有机化学B；智能建筑概论
1317,T0317,乐亨廷,国际金融,大学生物C；药理学；中国通史
1318,T0318,尹时镇,针灸临床治疗学,经络学；刺灸学；推拿临床治疗学
1319,T0319,计谊博,大地测量学基础,理论力学；宗教学
1320,T0320,危章万,艺术考古学,艺术设计基础
1321,T0321,干勤娅,航空宇航制造工程,航空航天动力装置；隐身技术；飞机维修
1322,T0322,王武奇,大学物理C,中国哲学史；艺术设计概论；口腔解剖生理学
1323,T0323,连卿颖,艺术设计概论,方剂学；海洋科学导论；园艺
1324,T0324,宣琴影,数字信号处理,动物科学；新闻传播三大类；交通运输法规
1325,T0325,牧艳娥,生物力学,蚕学；教育心理学
1326,T0326,勾泰昌,地质学B1,地质学A；近代史
1327,T0327,苍兴迅,森林生态学,测量与遥感；分析学
1328,T0328,印凤爽,教育学概论,数学模型；教育哲学；教育心理学
1329,T0329,奚壮河,推拿临床治疗学,大学英语听说教程；教育学概论
1330,T0330,晁平利,种子科学与工程,普通物理学；数学史；分许学
1331,T0331,谭兴迎,测试技术,机械设计基础；电工与电子技术基础理论
1332,T0332,夏若威,针灸临床治疗学,刺灸学；推拿临床治疗学
1333,T0333,扶竹莎,中国诗词欣赏,中国语言文学；中国诗词文化
1334,T0334,郭朋天,塑性力学,断裂力学；流体力学；几何学
1335,T0335,暨云璐,商法,安全防范工程；哲学概论
1336,T0336,嵇芸宁,计算机原理及应用,电工与电子技术基础理论；工程力学A1
1337,T0337,全霭珍,外国语言文学,测量与遥感；数理统计；教育社会学
1338,T0338,韦家航,数字信号处理,编译技术；操作系统；数据结构
1339,T0339,甄融翠,振动力学,计算机程序设计；渗流力学；钻井工程
1340,T0340,方焘万,中国语言文学,外国语言文学；采油工程；油田化学
1341,T0341,雍升来,断裂力学,普通物理学；几何学
1342,T0342,宋朗登,工程力学A1;工程力学A2；工程力学B；工程热力学,计算机程序设计；渗流力学；钻井工程
1343,T0343,石岚黛,农学B,外科护理学；微观经济学
1344,T0344,郦宜爱,机织学,测试技术；世界经济学；交通管理工程
1345,T0345,毋君怡,学前卫生学,舞蹈；幼儿心理学；幼儿保健学
1346,T0346,许爱芬,大学生物C,新闻学；地球化学；人体解剖学C
1347,T0347,石蕊珍,传热,飞机维修；纺织厂空气调节；国际贸易B
1348,T0348,寇富朗,幼儿保健学,计算机程序设计；渗流力学；钻井工程
1349,T0349,葛鑫牧,教育学概论,工程结构；财政学
1350,T0350,劳颖芳,哲学概论,建筑师业务基础；数字信号处理；汉语言文学B
1351,T0351,常同泽,古建筑保护,地球化学；食品添加剂；飞行器结构力学
1352,T0352,易眉青,国际营销学,中国通史；乐理学A1；海洋科学导论
1353,T0353,季思航,建筑材料,混凝土结构；工程结构
1354,T0354,严亮江,交通运输技术管理,地质学B1；游泳；外国艺术设计史
1355,T0355,傅晨彰,会计学Cl,计算机程序设计；渗流力学；钻井工程
1356,T0356,蔚迎君,纺织厂空气调节,建筑史工业；人体解剖学C；纺织导论
1357,T0357,籍登绍,有机化学A,交通港站与枢纽；劳动与社会保障；分析化学
1358,T0358,党晗意,大学英语读写教程,编译技术；生态建筑概论
1359,T0359,邵咏伦,商务英语,工程热力学；艺术设计概论；细胞生物学
1360,T0360,庾梦菲,大学计算机基础,计算机绘图；西方史学史；植物科学与技术
