索引,名字,学号,班级,专业
125,孔澜琰,2016010524,5,软件工程专业
126,能琬英,2016010525,5,软件工程专业
127,堵静冰,2016010526,5,软件工程专业
128,逄瑞霭,2016010527,5,软件工程专业
129,朱春苑,2016010528,5,软件工程专业
130,甘玲滢,2016010529,5,软件工程专业
131,陈美霞,2016010530,5,软件工程专业
132,糜菲凝,2016010531,5,软件工程专业
133,项君滢,2016010532,5,软件工程专业
134,雷希梦,2016010533,5,软件工程专业
135,俞梦舒,2016010534,5,软件工程专业
136,边真晶,2016010535,5,软件工程专业
137,柯眉娟,2016010536,5,软件工程专业
138,舒菲昭,2016010537,5,软件工程专业
139,齐莲妹,2016010538,5,软件工程专业
140,仇琰等,2016010539,5,软件工程专业
141,庄珠琼,2016010540,5,软件工程专业
142,习云红,2016010541,5,软件工程专业
143,杭英琴,2016010542,5,软件工程专业
144,濮凝勤,2016010543,5,软件工程专业
145,汲苑舒,2016010544,5,软件工程专业
146,支丹珠,2016010545,5,软件工程专业
147,鱼欣静,2017010301,3,软件工程专业
148,缪亚妹,2017010302,3,软件工程专业
149,闻飘霭,2017010303,3,软件工程专业
150,能莲纨,2017010304,3,软件工程专业
151,鞠爱园,2017010305,3,软件工程专业
152,彭蓉琬,2017010306,3,软件工程专业
153,别真苑,2017010307,3,软件工程专业
154,欧青琬,2017010308,3,软件工程专业
155,贺蓉婉,2017010309,3,软件工程专业
156,别晶荣,2017010310,3,软件工程专业
157,樊慧华,2017010311,3,软件工程专业
158,郁娣霄,2017010312,3,软件工程专业
159,毕眉莎,2017010313,3,软件工程专业
160,姚珍馥,2017010314,3,软件工程专业
161,叶芬月,2017010315,3,软件工程专业
162,应凝欢,2017010316,3,软件工程专业
163,卓薇璧,2017010317,3,软件工程专业
164,钟芝琳,2017010318,3,软件工程专业
165,昝丹澜,2017010319,3,软件工程专业
166,施雅姣,2017010320,3,软件工程专业
167,毕青荔,2017010321,3,软件工程专业
168,邵薇慧,2017010322,3,软件工程专业
169,慎寒莺,2017010323,3,软件工程专业
170,戚茜芝,2017010324,3,软件工程专业
171,裴瑾柔,2017010325,3,软件工程专业
172,辛琬娜,2017010326,3,软件工程专业
173,谷玉珊,2017010327,3,软件工程专业
174,劳纯希,2017010328,3,软件工程专业
175,潘莉亚,2017010329,3,软件工程专业
176,巫宁婵,2017010330,3,软件工程专业
177,齐娜晶,2017010331,3,软件工程专业
178,屠洁莲,2017010332,3,软件工程专业
179,宣琦凝,2017010333,3,软件工程专业
180,许露姬,2017010334,3,软件工程专业
181,步莺瑞,2017010335,3,软件工程专业
182,柯莉希,2017010336,3,软件工程专业
183,牛纨美,2017010337,3,软件工程专业
184,向璧桂,2017010338,3,软件工程专业
185,乐凤琰,2017010339,3,软件工程专业
186,訾珊素,2017010340,3,软件工程专业
187,景梦纯,2017010341,3,软件工程专业
188,祁莲瑞,2017010342,3,软件工程专业
189,张彩莲,2017010343,3,软件工程专业
190,董巧珠,2017010344,3,软件工程专业
191,郁香聪,2017010345,3,软件工程专业
192,时琬聪,2017010401,4,软件工程专业
193,党晶菊,2017010402,4,软件工程专业
194,弓娥馥,2017010403,4,软件工程专业
195,经云雅,2017010404,4,软件工程专业
196,步霄琬,2017010405,4,软件工程专业
197,郁亚薇,2017010406,4,软件工程专业
198,支琳勤,2017010407,4,软件工程专业
199,耿爽琦,2017010408,4,软件工程专业
200,乐婉蕊,2017010409,4,软件工程专业
201,酆惠瑗,2017010410,4,软件工程专业
202,任荣桂,2017010411,4,软件工程专业
203,和梦仪,2017010412,4,软件工程专业
204,巴瑞苑,2017010413,4,软件工程专业
205,伏莺凝,2017010414,4,软件工程专业
206,蒋琴露,2017010415,4,软件工程专业
207,蒋宁荔,2017010416,4,软件工程专业
208,欧珊爱,2017010417,4,软件工程专业
209,项霄枫,2017010418,4,软件工程专业
210,禄艳淑,2017010419,4,软件工程专业
211,贝娥玉,2017010420,4,软件工程专业
212,后红枝,2017010421,4,软件工程专业
213,冉羽卿,2017010422,4,软件工程专业
214,齐君婉,2017010423,4,软件工程专业
215,厉芬瑾,2017010424,4,软件工程专业
216,宰桂春,2017010425,4,软件工程专业
217,郗惠岚,2017010426,4,软件工程专业
218,乌莲雪,2017010427,4,软件工程专业
219,荀娣园,2017010428,4,软件工程专业
220,居园芳,2017010429,4,软件工程专业
221,丰琬瑗,2017010430,4,软件工程专业
222,季琬寒,2017010431,4,软件工程专业
223,于珠素,2017010432,4,软件工程专业
224,蓟兰珠,2017010433,4,软件工程专业
225,吴琼云,2017010434,4,软件工程专业
226,堵菊惠,2017010435,4,软件工程专业
227,卓茜亚,2017010436,4,软件工程专业
228,孔秀宜,2017010437,4,软件工程专业
229,嵇凤静,2017010438,4,软件工程专业
230,通思瑶,2017010439,4,软件工程专业
231,施月欢,2017010440,4,软件工程专业
232,司婕澜,2017010441,4,软件工程专业
233,桂春韵,2017010442,4,软件工程专业
234,巴华珊,2017010443,4,软件工程专业
235,云婵珠,2017010444,4,软件工程专业
236,熊艺嘉,2017010445,4,软件工程专业
237,经爱晶,2017010446,4,软件工程专业
238,阴霄玲,2017010447,4,软件工程专业
239,籍秀菲,2017010448,4,软件工程专业
240,宦媛悦,2017010501,5,软件工程专业
241,莘琬月,2017010502,5,软件工程专业
242,鲍嘉璐,2017010503,5,软件工程专业
243,古婷莲,2017010504,5,软件工程专业
244,耿璧亚,2017010505,5,软件工程专业
245,贺翠仪,2017010506,5,软件工程专业
246,茹红琴,2017010507,5,软件工程专业
247,龚珠桂,2017010508,5,软件工程专业
248,谭惠雪,2017010509,5,软件工程专业
249,厉玉爱,2017010510,5,软件工程专业
250,程梦芳,2017010511,5,软件工程专业
251,冷彩婕,2017010512,5,软件工程专业
252,诸凤琬,2017010513,5,软件工程专业
253,唐卿思,2017010514,5,软件工程专业
254,支娅馥,2017010515,5,软件工程专业
255,葛澜舒,2017010516,5,软件工程专业
256,宁娅希,2017010517,5,软件工程专业
257,酆娥薇,2017010518,5,软件工程专业
258,边思琼,2017010519,5,软件工程专业
259,阮瑶艳,2017010520,5,软件工程专业
260,弓岚宁,2017010521,5,软件工程专业
261,赖锦淑,2017010522,5,软件工程专业
262,冀苑菲,2017010523,5,软件工程专业
263,向莺玉,2017010524,5,软件工程专业
264,祁思馥,2017010525,5,软件工程专业
265,欧枫慧,2017010526,5,软件工程专业
266,和羽姣,2017010527,5,软件工程专业
267,邢琦君,2017010528,5,软件工程专业
268,蒯艺晶,2017010529,5,软件工程专业
269,席贞等,2017010530,5,软件工程专业
270,利芳芳,2017010531,5,软件工程专业
271,茹竹欢,2017010532,5,软件工程专业
272,柏琦茗,2017010533,5,软件工程专业
273,余思岚,2017010534,5,软件工程专业
274,谭滢影,2017010535,5,软件工程专业
275,瞿纨艳,2017010536,5,软件工程专业
276,史晶芬,2017010537,5,软件工程专业
277,鲍静韵,2017010538,5,软件工程专业
278,勾琬倩,2017010539,5,软件工程专业
279,谢舒锦,2017010540,5,软件工程专业
280,越素毓,2017010541,5,软件工程专业
281,都竹璧,2017010542,5,软件工程专业
282,尚伊枝,2017010543,5,软件工程专业
283,郜婉颖,2017010544,5,软件工程专业
284,秋琼思,2017010545,5,软件工程专业
285,利聪菲,2017010546,5,软件工程专业
286,王枫希,2017010547,5,软件工程专业
287,孙惠颖,2017010548,5,软件工程专业
288,郁春妍,2017010549,5,软件工程专业
289,钱梅梅,2017010550,5,软件工程专业
290,皮佳珍,2018010301,3,软件工程专业
291,巢雁雅,2018010302,3,软件工程专业
292,姜蓉冰,2018010303,3,软件工程专业
293,湛欣雪,2018010304,3,软件工程专业
294,弘环凝,2018010305,3,软件工程专业
295,邹琼卿,2018010306,3,软件工程专业
296,鱼巧娥,2018010307,3,软件工程专业
297,弘勤倩,2018010308,3,软件工程专业
298,扈颖莎,2018010309,3,软件工程专业
299,章红馥,2018010310,3,软件工程专业
300,贺娥眉,2018010311,3,软件工程专业
301,孙晓园,2018010312,3,软件工程专业
302,乐蓓香,2018010313,3,软件工程专业
303,刁冰蓉,2018010314,3,软件工程专业
304,印巧琳,2018010315,3,软件工程专业
305,汤菁青,2018010316,3,软件工程专业
306,戈飘苑,2018010317,3,软件工程专业
307,姬琬婉,2018010318,3,软件工程专业
308,祁羽英,2018010319,3,软件工程专业
309,喻雅馨,2018010320,3,软件工程专业
310,贝寒妹,2018010321,3,软件工程专业
311,宁颖倩,2018010322,3,软件工程专业
312,仰环惠,2018010323,3,软件工程专业
313,云琴娅,2018010324,3,软件工程专业
314,路瑶洁,2018010325,3,软件工程专业
315,皮竹春,2018010326,3,软件工程专业
316,蒯菲馨,2018010327,3,软件工程专业
317,屈锦凡,2018010328,3,软件工程专业
318,温仪纨,2018010329,3,软件工程专业
319,廖馨婷,2018010330,3,软件工程专业
320,步艺影,2018010331,3,软件工程专业
321,訾卿媛,2018010332,3,软件工程专业
322,师颖欢,2018010333,3,软件工程专业
323,郎淑莎,2018010334,3,软件工程专业
324,井露梅,2018010335,3,软件工程专业
325,郝影璐,2018010336,3,软件工程专业
326,衡妹伊,2018010337,3,软件工程专业
327,祖琳芸,2018010338,3,软件工程专业
328,家怡莺,2018010339,3,软件工程专业
329,尹巧贞,2018010340,3,软件工程专业
330,米春勤,2018010341,3,软件工程专业
331,缪淑琼,2018010342,3,软件工程专业
332,居贞羽,2018010343,3,软件工程专业
333,云环娅,2018010344,3,软件工程专业
334,毋媛梦,2018010345,3,软件工程专业
335,华岚霄,2018010401,4,软件工程专业
336,钟雪琰,2018010402,4,软件工程专业
337,牛丹倩,2018010403,4,软件工程专业
338,辛筠惠,2018010404,4,软件工程专业
339,养英露,2018010405,4,软件工程专业
340,都雁香,2018010406,4,软件工程专业
341,卢萍婵,2018010407,4,软件工程专业
342,范瑾贞,2018010408,4,软件工程专业
343,桂澜思,2018010409,4,软件工程专业
344,暴香佳,2018010410,4,软件工程专业
345,敖园柔,2018010411,4,软件工程专业
346,季静纯,2018010412,4,软件工程专业
347,易勤倩,2018010413,4,软件工程专业
348,惠英梦,2018010414,4,软件工程专业
349,牧飘伊,2018010415,4,软件工程专业
350,任爽娣,2018010416,4,软件工程专业
351,关菲璧,2018010417,4,软件工程专业
352,和瑶爱,2018010418,4,软件工程专业
353,唐咏珠,2018010419,4,软件工程专业
354,宿竹君,2018010420,4,软件工程专业
355,宰聪等,2018010421,4,软件工程专业
356,向凡爽,2018010422,4,软件工程专业
357,茹华珠,2018010423,4,软件工程专业
358,厉蕊美,2018010424,4,软件工程专业
359,阚荣娅,2018010425,4,软件工程专业
360,湛娴卿,2018010426,4,软件工程专业
361,钭筠淑,2018010427,4,软件工程专业
362,冷秋筠,2018010428,4,软件工程专业
363,汤伊羽,2018010429,4,软件工程专业
364,钟菲舒,2018010430,4,软件工程专业
365,鲍瑾姣,2018010431,4,软件工程专业
366,苏巧艺,2018010432,4,软件工程专业
367,贡菊娴,2018010433,4,软件工程专业
368,和欢馥,2018010434,4,软件工程专业
369,卢昭惠,2018010435,4,软件工程专业
370,那宁茗,2018010436,4,软件工程专业
371,窦娣晶,2018010437,4,软件工程专业
372,方勤珍,2018010438,4,软件工程专业
373,堵寒姬,2018010439,4,软件工程专业
374,相丹悦,2018010440,4,软件工程专业
375,虞莎晶,2018010441,4,软件工程专业
376,冯春影,2018010442,4,软件工程专业
377,齐琼秋,2018010443,4,软件工程专业
378,毛洁岚,2018010444,4,软件工程专业
379,霍秋娴,2018010445,4,软件工程专业
380,薄真荣,2018010446,4,软件工程专业
381,薄亚苑,2018010447,4,软件工程专业
382,钮雅英,2018010501,5,软件工程专业
383,秋霭勤,2018010502,5,软件工程专业
384,薄燕娴,2018010503,5,软件工程专业
385,冷飘妍,2018010504,5,软件工程专业
386,吴爱巧,2018010505,5,软件工程专业
387,茹娣岚,2018010506,5,软件工程专业
388,郝育凤,2018010507,5,软件工程专业
389,容菊菊,2018010508,5,软件工程专业
390,古梦巧,2018010509,5,软件工程专业
391,程蓓飘,2018010510,5,软件工程专业
392,璩筠荣,2018010511,5,软件工程专业
393,郁萍仪,2018010512,5,软件工程专业
394,卢琼琦,2018010513,5,软件工程专业
395,蔚妍珊,2018010514,5,软件工程专业
396,贺梅艺,2018010515,5,软件工程专业
397,都巧桂,2018010516,5,软件工程专业
398,秦昭莉,2018010517,5,软件工程专业
399,充飘艳,2018010518,5,软件工程专业
400,羊凝冰,2018010519,5,软件工程专业
401,俞丹梅,2018010520,5,软件工程专业
402,于雁娜,2018010521,5,软件工程专业
403,曾惠贞,2018010522,5,软件工程专业
404,师凡荣,2018010523,5,软件工程专业
405,鲍欢珠,2018010524,5,软件工程专业
406,郜怡真,2018010525,5,软件工程专业
407,赵可娴,2018010526,5,软件工程专业
408,房仪蓉,2018010527,5,软件工程专业
409,瞿倩娅,2018010528,5,软件工程专业
410,车仪锦,2018010529,5,软件工程专业
411,董莎姣,2018010530,5,软件工程专业
412,聂丽姬,2018010531,5,软件工程专业
413,须悦岚,2018010532,5,软件工程专业
414,文卿凤,2018010533,5,软件工程专业
415,贝卿荷,2018010534,5,软件工程专业
416,毋晶思,2018010535,5,软件工程专业
417,计兰美,2018010536,5,软件工程专业
418,詹毓嘉,2018010537,5,软件工程专业
419,全菁妍,2018010538,5,软件工程专业
420,秋琼娣,2018010539,5,软件工程专业
421,卞仪珍,2018010540,5,软件工程专业
422,鲁宜婷,2018010541,5,软件工程专业
423,宰素蓓,2018010542,5,软件工程专业
424,滕娜婷,2018010543,5,软件工程专业
425,阎怡竹,2018010544,5,软件工程专业
426,隗君宁,2018010545,5,软件工程专业
427,桑凝巧,2018010546,5,软件工程专业
428,贺妹悦,2018010547,5,软件工程专业
429,蓬雪晓,2019010301,3,软件工程专业
430,祁苑滢,2019010302,3,软件工程专业
431,融姬叶,2019010303,3,软件工程专业
432,颜澜雁,2019010304,3,软件工程专业
433,封蓉菊,2019010305,3,软件工程专业
434,贡纨贞,2019010306,3,软件工程专业
435,向锦茜,2019010307,3,软件工程专业
436,褚婷锦,2019010308,3,软件工程专业
437,景凤宜,2019010309,3,软件工程专业
438,都纨梅,2019010310,3,软件工程专业
439,霍茜娟,2019010311,3,软件工程专业
440,查娴荷,2019010312,3,软件工程专业
441,潘园莲,2019010313,3,软件工程专业
442,刁惠秋,2019010314,3,软件工程专业
443,黄娅娅,2019010315,3,软件工程专业
444,窦莉艺,2019010316,3,软件工程专业
445,夏岚艺,2019010317,3,软件工程专业
446,林婷荷,2019010318,3,软件工程专业
447,伊纯卿,2019010319,3,软件工程专业
448,雍瑗园,2019010320,3,软件工程专业
449,褚璐冰,2019010321,3,软件工程专业
450,阴静荣,2019010322,3,软件工程专业
451,宁芬丹,2019010323,3,软件工程专业
452,周可锦,2019010324,3,软件工程专业
453,储璧姣,2019010325,3,软件工程专业
454,宓霄素,2019010326,3,软件工程专业
455,宓环希,2019010327,3,软件工程专业
456,孙玲秀,2019010328,3,软件工程专业
457,厉伊华,2019010329,3,软件工程专业
458,潘晶晶,2019010330,3,软件工程专业
459,申娅桂,2019010331,3,软件工程专业
460,能慧苑,2019010332,3,软件工程专业
461,宁欢晓,2019010333,3,软件工程专业
462,童珊惠,2019010334,3,软件工程专业
463,姜莉凤,2019010335,3,软件工程专业
464,禹琼君,2019010336,3,软件工程专业
465,严爽巧,2019010337,3,软件工程专业
466,昌玲玉,2019010338,3,软件工程专业
467,阎娣滢,2019010339,3,软件工程专业
468,邓等娜,2019010340,3,软件工程专业
469,范宜瑗,2019010341,3,软件工程专业
470,隆雪爱,2019010342,3,软件工程专业
471,云等苑,2019010343,3,软件工程专业
472,胡眉婕,2019010344,3,软件工程专业
473,蔡芸澜,2019010345,3,软件工程专业
474,邹荷勤,2019010346,3,软件工程专业
475,贾春艺,2019010347,3,软件工程专业
476,唐亚慧,2019010348,3,软件工程专业
477,耿翠荷,2019010349,3,软件工程专业
478,崔琳嘉,2019010350,3,软件工程专业
479,柯澜爱,2019010351,3,软件工程专业
480,施霄枫,2019010352,3,软件工程专业
481,董茜凡,2019010401,4,软件工程专业
482,井茗荣,2019010402,4,软件工程专业
483,师芬雅,2019010403,4,软件工程专业
484,邴妹妍,2019010404,4,软件工程专业
485,宁贞悦,2019010405,4,软件工程专业
486,齐媛亚,2019010406,4,软件工程专业
487,祖露柔,2019010407,4,软件工程专业
488,滑梦青,2019010408,4,软件工程专业
489,吕惠怡,2019010409,4,软件工程专业
490,皮素惠,2019010410,4,软件工程专业
491,郭晶艳,2019010411,4,软件工程专业
492,平融霞,2019010412,4,软件工程专业
493,嵇舒翠,2019010413,4,软件工程专业
494,夏云荣,2019010414,4,软件工程专业
495,庄珍璐,2019010415,4,软件工程专业
496,寇红思,2019010416,4,软件工程专业
497,钮思珊,2019010417,4,软件工程专业
498,羊薇菲,2019010418,4,软件工程专业
499,能荷纯,2019010419,4,软件工程专业
500,居芝萍,2019010420,4,软件工程专业
501,石蕊荷,2019010421,4,软件工程专业
502,傅佳霭,2019010422,4,软件工程专业
503,井桂婕,2019010423,4,软件工程专业
504,卜贞玲,2019010424,4,软件工程专业
505,卫燕莲,2019010425,4,软件工程专业
506,靳妹慧,2019010426,4,软件工程专业
507,戚琴希,2019010427,4,软件工程专业
508,那雁婕,2019010428,4,软件工程专业
509,高荷芝,2019010429,4,软件工程专业
510,后琴澜,2019010430,4,软件工程专业
511,巫亚洁,2019010431,4,软件工程专业
512,樊娣眉,2019010432,4,软件工程专业
513,索雪雅,2019010433,4,软件工程专业
514,孙瑗霄,2019010434,4,软件工程专业
515,许影晓,2019010435,4,软件工程专业
516,羿菲英,2019010436,4,软件工程专业
517,糜仪芸,2019010437,4,软件工程专业
518,满娅薇,2019010438,4,软件工程专业
519,宰晶怡,2019010439,4,软件工程专业
520,松凡兰,2019010440,4,软件工程专业
521,康菊燕,2019010441,4,软件工程专业
522,石芝淑,2019010442,4,软件工程专业
523,高媛琬,2019010443,4,软件工程专业
524,东园淑,2019010444,4,软件工程专业
525,融枫雪,2019010445,4,软件工程专业
526,干芳莎,2019010446,4,软件工程专业
527,莘娣茜,2019010447,4,软件工程专业
528,邓芸芳,2019010448,4,软件工程专业
529,堵英艳,2019010449,4,软件工程专业
530,养燕丽,2019010450,4,软件工程专业
531,田荣静,2019010501,5,软件工程专业
532,贲筠凡,2019010502,5,软件工程专业
533,毕洁欣,2019010503,5,软件工程专业
534,农燕寒,2019010504,5,软件工程专业
535,羿悦蕊,2019010505,5,软件工程专业
536,都真君,2019010506,5,软件工程专业
537,仇素欣,2019010507,5,软件工程专业
538,余珠佳,2019010508,5,软件工程专业
539,田秋薇,2019010509,5,软件工程专业
540,易勤霞,2019010510,5,软件工程专业
541,潘颖岚,2019010511,5,软件工程专业
542,刘琴冰,2019010512,5,软件工程专业
543,昌羽淑,2019010513,5,软件工程专业
544,戎思瑞,2019010514,5,软件工程专业
545,贾秋纯,2019010515,5,软件工程专业
546,任融琬,2019010516,5,软件工程专业
547,栾珊琳,2019010517,5,软件工程专业
548,颜澜娜,2019010518,5,软件工程专业
549,师娅瑶,2019010519,5,软件工程专业
550,单红瑞,2019010520,5,软件工程专业
551,谷丽巧,2019010521,5,软件工程专业
552,万澜琼,2019010522,5,软件工程专业
553,翟宜雪,2019010523,5,软件工程专业
554,卓枫霞,2019010524,5,软件工程专业
555,翟香珠,2019010525,5,软件工程专业
556,施慧梅,2019010526,5,软件工程专业
557,金娥欢,2019010527,5,软件工程专业
558,戈晶思,2019010528,5,软件工程专业
559,屠梦思,2019010529,5,软件工程专业
560,聂苑璐,2019010530,5,软件工程专业
561,谈青嘉,2019010531,5,软件工程专业
562,越悦艳,2019010532,5,软件工程专业
563,池琴纨,2019010533,5,软件工程专业
564,孙霄寒,2019010534,5,软件工程专业
565,简可珠,2019010535,5,软件工程专业
566,叶华莲,2019010536,5,软件工程专业
567,贝筠嘉,2019010537,5,软件工程专业
568,汤宜云,2019010538,5,软件工程专业
569,翟韵聪,2019010539,5,软件工程专业
570,邹婷艺,2019010540,5,软件工程专业
571,诸滢凝,2019010541,5,软件工程专业
572,边筠爱,2019010542,5,软件工程专业
573,卻琰欢,2019010543,5,软件工程专业
574,蒲翠春,2019010544,5,软件工程专业
575,嵇霄怡,2019010545,5,软件工程专业
576,尹月英,2019010546,5,软件工程专业
577,戴琴影,2019010547,5,软件工程专业
578,郦筠育,2019010548,5,软件工程专业
579,居美琳,2019010549,5,软件工程专业
580,狄琰嘉,2019010550,5,软件工程专业
581,戎玲春,2019010551,5,软件工程专业
582,慎娣可,2016020301,3,计算机科学与技术专业
583,冯倩枝,2016020302,3,计算机科学与技术专业
584,贝蕊环,2016020303,3,计算机科学与技术专业
585,裴芝艺,2016020304,3,计算机科学与技术专业
586,从莲枝,2016020305,3,计算机科学与技术专业
587,裴琬亚,2016020306,3,计算机科学与技术专业
588,芮寒洁,2016020307,3,计算机科学与技术专业
589,蔺悦洁,2016020308,3,计算机科学与技术专业
590,闻韵淑,2016020309,3,计算机科学与技术专业
591,束惠羽,2016020310,3,计算机科学与技术专业
592,厉舒莺,2016020311,3,计算机科学与技术专业
593,夔叶芸,2016020312,3,计算机科学与技术专业
594,陆琼枫,2016020313,3,计算机科学与技术专业
595,宰梦秋,2016020314,3,计算机科学与技术专业
596,蒙琬菁,2016020315,3,计算机科学与技术专业
597,邢仪瑶,2016020316,3,计算机科学与技术专业
598,姜萍丽,2016020317,3,计算机科学与技术专业
599,凌瑶燕,2016020318,3,计算机科学与技术专业
600,关君璧,2016020319,3,计算机科学与技术专业
601,余卿雁,2016020320,3,计算机科学与技术专业
602,弘婷晓,2016020321,3,计算机科学与技术专业
603,苏梅希,2016020322,3,计算机科学与技术专业
604,祖菊蓓,2016020323,3,计算机科学与技术专业
605,骆凡荣,2016020324,3,计算机科学与技术专业
606,冯舒莲,2016020325,3,计算机科学与技术专业
607,方翠影,2016020326,3,计算机科学与技术专业
608,任美慧,2016020327,3,计算机科学与技术专业
609,金韵婷,2016020328,3,计算机科学与技术专业
610,伍婵馥,2016020329,3,计算机科学与技术专业
611,陈婕云,2016020330,3,计算机科学与技术专业
612,陆琰苑,2016020331,3,计算机科学与技术专业
613,国馨荔,2016020332,3,计算机科学与技术专业
614,暨环婉,2016020333,3,计算机科学与技术专业
